Domain,Area,Element,Months,Year,Unit,Value,Flag Description
Temperature change on land,Ecuador,Temperature change,December,1997,°c,1.827,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1998,°c,2.041,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1998,°c,2.042,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1998,°c,1.495,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1998,°c,1.535,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1998,°c,1.495,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1998,°c,1.297,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1998,°c,1.188,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1998,°c,0.893,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1998,°c,0.716,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1998,°c,0.558,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1998,°c,0.652,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1998,°c,0.462,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1999,°c,0.151,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1999,°c,-0.043,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1999,°c,0.449,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1999,°c,-0.311,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1999,°c,-0.162,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1999,°c,0.471,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1999,°c,0.375,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1999,°c,0.199,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1999,°c,0.511,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1999,°c,-0.006,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1999,°c,0.322,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1999,°c,0.277,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2000,°c,0.213,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2000,°c,-0.108,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2000,°c,0.047,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2000,°c,0.004,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2000,°c,0.052,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2000,°c,0.37,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2000,°c,0.139,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2000,°c,0.518,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2000,°c,0.493,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2000,°c,0.466,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2000,°c,0.46,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2000,°c,0.297,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2001,°c,0.183,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2001,°c,0.207,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2001,°c,0.476,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2001,°c,0.854,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2001,°c,0.406,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2001,°c,-0.114,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2001,°c,0.899,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2001,°c,0.429,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2001,°c,0.48,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2001,°c,0.658,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2001,°c,0.952,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2001,°c,0.793,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2002,°c,0.838,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2002,°c,0.797,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2002,°c,0.876,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2002,°c,0.893,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2002,°c,1.138,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2002,°c,0.598,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2002,°c,0.569,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2002,°c,0.828,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2002,°c,0.84,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2002,°c,0.565,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2002,°c,0.587,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2002,°c,0.799,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2003,°c,1.124,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2003,°c,1.091,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2003,°c,0.559,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2003,°c,0.905,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2003,°c,0.44,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2003,°c,0.702,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2003,°c,0.623,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2003,°c,1.026,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2003,°c,0.954,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2003,°c,1.141,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2003,°c,0.593,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2003,°c,0.583,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2004,°c,1.303,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2004,°c,0.701,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2004,°c,0.889,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2004,°c,1.094,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2004,°c,0.739,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2004,°c,0.367,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2004,°c,0.888,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2004,°c,0.482,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2004,°c,0.91,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2004,°c,1.038,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2004,°c,1.03,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2004,°c,0.74,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2005,°c,1.262,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2005,°c,1.046,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2005,°c,0.847,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2005,°c,0.939,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2005,°c,0.938,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2005,°c,0.924,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2005,°c,0.836,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2005,°c,0.543,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2005,°c,0.697,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2005,°c,0.568,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2005,°c,0.699,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2005,°c,0.491,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2006,°c,0.7,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2006,°c,0.852,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2006,°c,0.685,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2006,°c,0.763,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2006,°c,0.418,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2006,°c,0.716,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2006,°c,1.025,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2006,°c,1.121,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2006,°c,0.948,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2006,°c,1.175,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2006,°c,0.798,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2006,°c,0.934,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2007,°c,1.449,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2007,°c,1.302,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2007,°c,0.868,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2007,°c,1.104,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2007,°c,0.828,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2007,°c,0.204,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2007,°c,1.049,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2007,°c,0.8,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2007,°c,0.507,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2007,°c,0.314,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2007,°c,0.461,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2007,°c,0.266,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2008,°c,0.669,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2008,°c,0.2,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2008,°c,0.476,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2008,°c,0.552,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2008,°c,0.156,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2008,°c,0.868,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2008,°c,1.222,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2008,°c,1.184,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2008,°c,1.261,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2008,°c,0.856,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2008,°c,0.708,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2008,°c,0.685,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2009,°c,0.61,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2009,°c,0.256,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2009,°c,0.97,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2009,°c,0.535,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2009,°c,0.871,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2009,°c,1.037,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2009,°c,1.531,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2009,°c,1.343,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2009,°c,1.357,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2009,°c,1.238,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2009,°c,1.095,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2009,°c,1.224,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2010,°c,1.403,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2010,°c,1.506,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2010,°c,1.438,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2010,°c,1.491,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2010,°c,1.33,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2010,°c,1.097,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2010,°c,1.121,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2010,°c,0.873,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2010,°c,0.819,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2010,°c,0.598,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2010,°c,0.138,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2010,°c,0.261,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2011,°c,0.466,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2011,°c,0.797,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2011,°c,0.577,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2011,°c,0.755,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2011,°c,0.545,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2011,°c,1.129,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2011,°c,1.674,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2011,°c,0.919,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2011,°c,0.943,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2011,°c,0.55,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2011,°c,0.779,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2011,°c,0.728,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2012,°c,0.799,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2012,°c,-0.132,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2012,°c,0.433,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2012,°c,0.666,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2012,°c,0.619,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2012,°c,1.201,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2012,°c,0.956,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2012,°c,0.88,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2012,°c,0.486,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2012,°c,0.612,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2012,°c,0.714,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2012,°c,0.364,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2013,°c,0.631,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2013,°c,0.072,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2013,°c,0.648,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2013,°c,0.238,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2013,°c,0.207,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2013,°c,0.486,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2013,°c,0.053,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2013,°c,0.602,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2013,°c,0.945,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2013,°c,0.866,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2013,°c,0.775,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2013,°c,0.888,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2014,°c,0.935,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2014,°c,0.249,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2014,°c,0.958,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2014,°c,0.642,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2014,°c,1.218,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2014,°c,1.626,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2014,°c,1.633,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2014,°c,0.971,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2014,°c,1.08,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2014,°c,0.912,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2014,°c,1.022,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2014,°c,1.085,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2015,°c,0.549,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2015,°c,1.097,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2015,°c,0.468,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2015,°c,1.132,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2015,°c,0.879,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2015,°c,1.797,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2015,°c,2.088,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2015,°c,1.848,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2015,°c,2.213,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2015,°c,1.939,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2015,°c,1.629,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2015,°c,1.68,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2016,°c,2.114,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2016,°c,1.541,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2016,°c,1.967,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2016,°c,1.649,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2016,°c,1.617,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2016,°c,1.21,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2016,°c,1.564,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2016,°c,1.695,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2016,°c,1.544,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2016,°c,1.414,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2016,°c,0.608,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2016,°c,0.944,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2017,°c,1.037,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2017,°c,1.124,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2017,°c,0.907,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2017,°c,1.336,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2017,°c,1.549,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2017,°c,1.559,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2017,°c,1.033,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2017,°c,1.456,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2017,°c,1.178,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2017,°c,1.146,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2017,°c,0.597,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2017,°c,0.861,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2018,°c,0.631,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2018,°c,0.939,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2018,°c,0.791,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2018,°c,0.808,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2018,°c,0.61,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2018,°c,0.654,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2018,°c,1.012,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2018,°c,1.098,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2018,°c,1.262,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2018,°c,1.254,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2018,°c,1.691,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2018,°c,0.556,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2019,°c,1.566,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2019,°c,1.477,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2019,°c,1.266,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2019,°c,1.379,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2019,°c,1.315,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2019,°c,1.551,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2019,°c,2.218,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2019,°c,0.818,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2019,°c,1.252,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2019,°c,0.786,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2019,°c,1.165,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2019,°c,1.101,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2020,°c,1.528,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2020,°c,1.528,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2020,°c,1.868,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2020,°c,1.246,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2020,°c,2.005,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2020,°c,1.876,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2020,°c,1.042,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2020,°c,1.196,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2020,°c,1.988,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2020,°c,1.238,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2020,°c,1.494,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2020,°c,1.036,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2021,°c,1.015,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2021,°c,0.893,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2021,°c,0.858,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2021,°c,0.915,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2021,°c,0.92,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2021,°c,0.911,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2021,°c,1.49,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2021,°c,1.366,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2021,°c,0.941,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2021,°c,1.361,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2021,°c,0.68,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2021,°c,0.927,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2022,°c,1.014,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2022,°c,0.995,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2022,°c,1.241,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2022,°c,0.636,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2022,°c,0.324,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2022,°c,0.25,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2022,°c,0.851,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2022,°c,0.578,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2022,°c,0.716,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2022,°c,0.621,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2022,°c,0.673,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2022,°c,0.697,Estimated value